ID;grupo;producto;marca;especificacion;N;Min;Pmin;Pmediano;PPdM;Pmax;Max;ee;iqr;PPdM_Ant;Var.Mens;C.V.;Periodo
94;Limpieza del hogar;Jabón para ropa en barra;Bull Dog;Unidad 300 grs.;454;43;43;89;81.38;95;99;16.15693152;10;81.564;-0.0023;0.1985;Nov25
95;Limpieza del hogar;Jabón para ropa en barra;Nevex;Unidad 200 grs.;331;44;44.8;60;61.523;73;77;4.869444661;5;60.629;0.0147;0.0791;Nov25
96;Limpieza del hogar;Jabón para ropa en barra;Primor;Unidad 200 grs.;513;32.9;35;39;40.141;49.9;51;4.951712702;10;39.373;0.0195;0.1234;Nov25
97;Alimentos y bebidas;Jamón cocido no artesanal;Cattivelli;1 kg.;32;550;550;820;766.103;1050;1050;109.6862147;130;792.227;-0.033;0.1432;Nov25
98;Alimentos y bebidas;Jamón cocido no artesanal;Ottonello;1 kg.;198;565;568;700;693.547;860;864.15;37.52324734;10;680.31;0.0195;0.0541;Nov25
100;Alimentos y bebidas;Leonesa;Ottonello;1 kg.;51;390;410;500;494.552;670;790;43.30910627;30;480.781;0.0286;0.0876;Nov25
101;Alimentos y bebidas;Leonesa;Schneck;1 kg.;225;460;520;690;673.961;830;860;56.79599662;50;681.476;-0.011;0.0843;Nov25
102;Alimentos y bebidas;Manteca;Calcar;Envase 200 grs.;22;63.9;63.9;69;72.218;123;123;12.59639549;6;72.218;0;0.1744;Nov25
103;Alimentos y bebidas;Manteca;Conaprole sin sal;Envase 200 grs.;592;94;97;109;112.393;125;125;9.335629897;20.1;111.444;0.0085;0.0831;Nov25
104;Alimentos y bebidas;Manteca;Kasdorf;Envase 200 grs.;249;92;96;106;106.792;117;120;5.002026553;5;106.637;0.0015;0.0468;Nov25
105;Alimentos y bebidas;Margarina;Doriana nueva;Envase 250 grs.;106;52;55;81;81.976;103;104;9.578813834;14.1;81.929;0.0006;0.1168;Nov25
109;Alimentos y bebidas;Mayonesa común;Hellmans;Envase 500 grs.;419;95;95;129;127.386;175;179;15.33218344;27;127.855;-0.0037;0.1204;Nov25
110;Alimentos y bebidas;Mayonesa común;Uruguay;Envase 500 grs.;465;74.9;79;97;101.205;120;134;11.36930909;15;99.214;0.0201;0.1123;Nov25
112;Alimentos y bebidas;Mermelada de durazno;El Hogar;Envase 500 grs.;120;69;69;89;83.589;135;135;14.57350778;20;83.589;0;0.1743;Nov25
113;Alimentos y bebidas;Mermelada de durazno;Los Nietitos;Envase 500 grs.;471;99;102;126;124.883;143;150;6.664013828;4;127.563;-0.021;0.0534;Nov25
114;Alimentos y bebidas;Nalga vacuna;Con Hueso - Sin Marca;1 kg.;27;349;349;517;471.259;559;559;60.80905205;92;472.29;-0.0022;0.129;Nov25
115;Alimentos y bebidas;Nalga vacuna;Sin Hueso - Sin Marca;1 kg.;191;369;369;429;429.939;547;555;52.05357753;90;429.014;0.0022;0.1211;Nov25
116;Alimentos y bebidas;Paleta vacuna;Con Hueso - Sin Marca;1 kg.;153;319;329;425;419.256;479;479;27.20899104;19;420.698;-0.0034;0.0649;Nov25
117;Alimentos y bebidas;Paleta vacuna;Sin Hueso - Sin Marca;1 kg.;208;289;289;319;346.678;485;485;58.59910671;78.5;350.337;-0.0104;0.169;Nov25
118;Alimentos y bebidas;Pan de molde lacteado;Los Sorchantes;Paquete 330 grs.;410;98.9;99;124.9;123.879;139.9;149.9;9.367302877;9;123.649;0.0019;0.0756;Nov25
119;Alimentos y bebidas;Pan de molde lacteado;Bimbo;Paquete 330 grs.;282;104.9;110;133;133.035;156;165;8.927309623;8;132.316;0.0054;0.0671;Nov25
121;Alimentos y bebidas;Pan flauta;Sin marca;Unidad aprox215 grs.;111;47;47;49;52.951;86;99;9.77025174;0;68.709;-0.2293;0.1845;Nov25
122;Cuidado personal;Papel higiénico hoja simple;Elite;4 rollos de 30 mts.;173;65;65;103;99.8;128;128;13.16950808;9;102.488;-0.0262;0.132;Nov25
