Producto,producto_base,tipo_producto,marca,presentacion,presentacion_valor,presentacion_unidad,especificacion,es_producto_valido,requiere_revision
repelente de mosquitos crema Jupiter (80 grs.),repelente de mosquitos crema Jupiter,Repelente de mosquitos crema,Júpiter,80 grs.,80.0,GR,,True,False
repelente de mosquitos crema Off! (200 grs.),repelente de mosquitos crema Off!,Repelente de mosquitos crema,Off,200 grs.,200.0,GR,,True,False
repelente de mosquitos crema Off! (90 grs.),repelente de mosquitos crema Off!,Repelente de mosquitos crema,Off,90 grs.,90.0,GR,,True,False
repelente de mosquitos spray Off! (177 cm3),repelente de mosquitos spray Off!,Repelente de mosquitos spray,Off,177 cm3,177,CM3,,True,False
"Repelente spray Off! Family, 177 cm3",Repelente spray Off! Family,Repelente spray,Off,177 cm3,177,CM3,Family,True,False
rueda con hueso Sin marca (1 kg),rueda con hueso Sin marca,Rueda vacuna,Sin marca,1 kg,1.0,KG,Con Hueso,True,False
Rueda Vacuna Con Hueso - Sin Marca 1 kg,Rueda Vacuna Con Hueso - Sin Marca,Rueda vacuna,Sin marca,1 kg,1.0,KG,Con Hueso,True,False
sal fina Sek (paquete 500 grs.),sal fina Sek,Sal fina,Sek,paquete 500 grs.,500.0,GR,,True,False
sal fina Torrevieja (paquete 500 grs.),sal fina Torrevieja,Sal fina,Torrevieja,paquete 500 grs.,500.0,GR,,True,False
sal fina Urusal (paquete 500 grs.),sal fina Urusal,Sal fina,Urusal,paquete 500 grs.,500.0,GR,,True,False
Sal fina yodada fluorada Sek Paquete 500 grs.,Sal fina yodada fluorada Sek,Sal fina yodada fluorada,Sek,Paquete 500 grs.,500.0,GR,,True,False
Sal fina yodada fluorada Torrevieja Paquete 500 grs.,Sal fina yodada fluorada Torrevieja,Sal fina yodada fluorada,Torrevieja,Paquete 500 grs.,500.0,GR,,True,False
Sal fina yodada fluorada Urusal Paquete 500 grs.,Sal fina yodada fluorada Urusal,Sal fina yodada fluorada,Urusal,Paquete 500 grs.,500.0,GR,,True,False
shampoo comun Dove original (400 ml.),shampoo comun Dove original,Shampoo comun,Dove,400 ml.,400.0,ML,Original,True,False
shampoo comun Fructis (envase 350 ml.),shampoo comun Fructis,Shampoo comun,Fructis,envase 350 ml.,350.0,ML,,True,False
shampoo comun Pantene (400 ml.),shampoo comun Pantene,Shampoo comun,Pantene,400 ml.,400.0,ML,,True,False
shampoo comun Sedal (envase 350 ml.),shampoo comun Sedal,Shampoo comun,Sedal,envase 350 ml.,350.0,ML,,True,False
shampoo comun Suave (envase 930 ml.),shampoo comun Suave,Shampoo comun,Suave,envase 930 ml.,930.0,ML,,True,False
"Talco J&J Regular, 200 grs.",Talco J&J Regular,Talco,J&J,200 grs.,200.0,GR,Regular,True,False
"Talco Xanapie Aerosol, 175 ml.",Talco Xanapie Aerosol,Talco,Xanapie,175 ml.,175.0,ML,Aerosol,True,False
"Talco Xanapie Bolsa Repuesto, 180 grs.",Talco Xanapie Bolsa Repuesto,Talco,Xanapie,180 grs.,180.0,GR,Bolsa Repuesto,True,False
talco comun Johnson & johnson (200 grs.),talco comun Johnson & johnson,Talco comun,Johnson & Johnson,200 grs.,200.0,GR,,True,False
talco comun Xanapie (175 ml.),talco comun Xanapie,Talco comun,Xanapie,175 ml.,175.0,ML,,True,False
talco comun Xanapie (180 grs.),talco comun Xanapie,Talco comun,Xanapie,180 grs.,180.0,GR,,True,False
Té negro en saquitos Hornimans Caja 10 us.,Té negro en saquitos Hornimans,Te negro en saquitos,Hornimans,Caja 10 us.,10.0,UNIDADES,,True,False
Té negro en saquitos La Virginia Caja 10 us.,Té negro en saquitos La Virginia,Te negro en saquitos,La Virginia,Caja 10 us.,10.0,UNIDADES,,True,False
Té negro en saquitos President Caja 10 us.,Té negro en saquitos President,Te negro en saquitos,President,Caja 10 us.,10.0,UNIDADES,,True,False
te saquitos Hornimans (caja 10 us.),te saquitos Hornimans,Te saquitos,Hornimans,caja 10 us.,10.0,UNIDADES,,True,False
te saquitos La virginia (caja 10 us.),te saquitos La virginia,Te saquitos,La Virginia,caja 10 us.,10.0,UNIDADES,,True,False
te saquitos President (caja 10 us.),te saquitos President,Te saquitos,President,caja 10 us.,10.0,UNIDADES,,True,False
"Tinta Excellence Tinta N.9, 1 unidad",Tinta Excellence Tinta N.9,Tinta,Excellence,1 unidad,1.0,UNIDADES,N 9,True,False
"Tinta Garnier Nutrisse Intense N.8.0, 1 unidad",Tinta Garnier Nutrisse Intense N.8.0,Tinta,Garnier,1 unidad,1.0,UNIDADES,Nutrisse Intense N 8 0,True,False
"Tinta Issue Decolorante Semilla Lino 30 Grs., 1 unidad",Tinta Issue Decolorante Semilla Lino 30 Grs.,Tinta,Issue,1 unidad,1.0,UNIDADES,Decolorante Semilla Lino 30 Grs,True,False
tinta comun Excellence (1 unidad),tinta comun Excellence,Tinta comun,Excellence,1 unidad,1.0,UNIDADES,,True,False
tinta comun Garnier (1 unidad),tinta comun Garnier,Tinta comun,Garnier,1 unidad,1.0,UNIDADES,,True,False
tinta comun Issue (1 unidad),tinta comun Issue,Tinta comun,Issue,1 unidad,1.0,UNIDADES,,True,False
"Toallitas Femenias Siempre Libre Nocturna Max Con Alas, 8 us.",Toallitas Femenias Siempre Libre Nocturna Max Con Alas,Toallitas femenias,Siempre Libre,8 us.,8.0,UNIDADES,Nocturna Max Con Alas,True,False
"Toallitas Femeninas Ladysoft Basica, 16 us.",Toallitas Femeninas Ladysoft Basica,Toallitas femeninas,Ladysoft,16 us.,16.0,UNIDADES,Basica,True,False
toallitas y tampones comun Ladysoft (16 unidades),toallitas y tampones comun Ladysoft,Toallitas y tampones comun,Ladysoft,16 unidades,16.0,UNIDADES,,True,False
toallitas y tampones comun Siempre libre (8 unidades),toallitas y tampones comun Siempre libre,Toallitas y tampones comun,Siempre Libre,8 unidades,8.0,UNIDADES,,True,False
"Tomate Americano, 1 kg.",Tomate Americano,Tomate,Sin marca,1 kg.,1.0,KG,Americano,True,False
"Tomate Perita, 1 kg.",Tomate Perita,Tomate,Sin marca,1 kg.,1.0,KG,Perita,True,False
tomate americano Sin marca (1 kg.),tomate americano Sin marca,Tomate,Sin marca,1 kg.,1.0,KG,Americano,True,False
tomate perita Sin marca (1 kg.),tomate perita Sin marca,Tomate,Sin marca,1 kg.,1.0,KG,Perita,True,False
vino tinto Faisan (envase 1 lt.),vino tinto Faisan,Vino tinto,Faisán,Envase 1 lt.,1.0,LT,,True,False
vino tinto Santa teresa clasico (envase 1 lt.),vino tinto Santa teresa clasico,Vino tinto,Santa Teresa,Envase 1 lt.,1.0,LT,Clasico,True,False
vino tinto Tango (envase 1 lt.),vino tinto Tango,Vino tinto,Tango,Envase 1 lt.,1.0,LT,,True,False
Vino tinto común tetrabrick Faisán Envase 1 lt.,Vino tinto común tetrabrick Faisán,Vino tinto comun tetrabrick,Faisán,Envase 1 lt.,1.0,LT,,True,False
Vino tinto común tetrabrick Santa Teresa Clásico Envase 1 lt.,Vino tinto común tetrabrick Santa Teresa Clásico,Vino tinto comun tetrabrick,Santa Teresa,Envase 1 lt.,1.0,LT,Clasico,True,False
Vino tinto común tetrabrick Tango Envase 1 lt.,Vino tinto común tetrabrick Tango,Vino tinto comun tetrabrick,Tango,Envase 1 lt.,1.0,LT,,True,False
Yerba mate común Baldo Paquete1 kg.,Yerba mate común Baldo,Yerba mate comun,Baldo,Paquete 1 kg.,1.0,KG,,True,False
Yerba mate común Canarias Paquete1 kg.,Yerba mate común Canarias,Yerba mate comun,Canarias,Paquete 1 kg.,1.0,KG,,True,False
Yerba mate común Del Cebador Paquete1 kg.,Yerba mate común Del Cebador,Yerba mate comun,Del Cebador,Paquete 1 kg.,1.0,KG,,True,False
yerba mate sin tipo Baldo (paquete1 kg.),yerba mate sin tipo Baldo,Yerba mate sin tipo,Baldo,Paquete 1 kg.,1.0,KG,,True,False
yerba mate sin tipo Canarias (paquete1 kg.),yerba mate sin tipo Canarias,Yerba mate sin tipo,Canarias,Paquete 1 kg.,1.0,KG,,True,False
yerba mate sin tipo Del cebador (paquete1 kg.),yerba mate sin tipo Del cebador,Yerba mate sin tipo,Del Cebador,Paquete 1 kg.,1.0,KG,,True,False
Yogur Calcar Sachet 1 lt.,Yogur Calcar,Yogur,Calcar,Sachet 1 lt.,1.0,LT,,True,False
"Yogur Conaprole BIO TOP Sachet1,200 lt.",Yogur Conaprole BIO TOP,Yogur,Conaprole,"Sachet 1,200 lt.",1.2,LT,Bio Top,True,False
Yogur Parmalat Bio Yogur Sachet 1 lt.,Yogur Parmalat Bio Yogur,Yogur,Parmalat,Sachet 1 lt.,1.2,LT,Bio Yogur,True,False
yogur semi-descremado Calcar (sachet 1 lt.),yogur semi-descremado Calcar,Yogur semi descremado,Calcar,Sachet 1 lt.,1.0,LT,,True,False
"yogur semi-descremado Conaprole (sachet1,200 lt.)",yogur semi-descremado Conaprole,Yogur semi descremado,Conaprole,"Sachet 1,200 lt.",1.2,LT,,True,False
yogur semi-descremado Parmalat (sachet 1 lt.),yogur semi-descremado Parmalat,Yogur semi descremado,Parmalat,Sachet 1 lt.,1.0,LT,,True,False
"Zapallo Calabacín, 1 kg.",Zapallo Calabacín,Zapallo,Sin marca,1 kg.,1.0,KG,Calabacin,True,False
"Zapallo Criollo, 1 kg.",Zapallo Criollo,Zapallo,Sin marca,1 kg.,1.0,KG,Criollo,True,False
zapallo calabacin Sin marca (1 kg.),zapallo calabacin Sin marca,Zapallo,Sin marca,1 kg.,1.0,KG,Calabacin,True,False
zapallo criollo Sin marca (1 kg.),zapallo criollo Sin marca,Zapallo,Sin marca,1 kg.,1.0,KG,Criollo,True,False
Establecimientos Relevados,Establecimientos Relevados,,,,,,Establecimientos Relevados,False,True
