Producto,producto_base,tipo_producto,marca,presentacion,presentacion_valor,presentacion_unidad,especificacion,es_producto_valido,requiere_revision
hamburguesa carne vacuna Burgy (paquete 3 unidades),hamburguesa carne vacuna Burgy,Hamburguesa carne vacuna,Burgy,Paquete 3 unidades,3.0,UNIDADES,,True,False
hamburguesa carne vacuna Paty (paquete 2 unidades),hamburguesa carne vacuna Paty,Hamburguesa carne vacuna,Paty,Paquete 2 unidades,2.0,UNIDADES,,True,False
hamburguesa carne vacuna Schneck (paquete 2 unidades),hamburguesa carne vacuna Schneck,Hamburguesa carne vacuna,Schneck,paquete 2 unidades,2.0,UNIDADES,,True,False
Hamburguesas carne vacun Burgy Paquete 3 unidades,Hamburguesas carne vacun Burgy,Hamburguesas carne vacun,Burgy,Paquete 3 unidades,3.0,UNIDADES,,True,False
Hamburguesas carne vacun Paty Paquete 2 unidades,Hamburguesas carne vacun Paty,Hamburguesas carne vacun,Paty,Paquete 2 unidades,2.0,UNIDADES,,True,False
Hamburguesas carne vacun Schneck Paquete 2 unidades,Hamburguesas carne vacun Schneck,Hamburguesas carne vacun,Schneck,Paquete 2 unidades,2.0,UNIDADES,,True,False
Harina de maíz Gourmet Paquete 450 grs.,Harina de maíz Gourmet,Harina de maiz,Gourmet,Paquete 450 grs.,450.0,GR,,True,False
harina de maiz Gourmet (paquete 450 grs.),harina de maiz Gourmet,Harina de maiz,Gourmet,Paquete 450 grs.,450.0,GR,,True,False
Harina de maíz Presto Pronta Arcor Paquete 500 grs.,Harina de maíz Presto Pronta Arcor,Harina de maiz,Presto Pronta Arcor,Paquete 500 grs.,500.0,GR,,True,False
harina de maiz Presto pronta arcor (paquete 500 grs.),harina de maiz Presto pronta arcor,Harina de maiz,Presto Pronta Arcor,Paquete 500 grs.,500.0,GR,,True,False
Harina de maíz Puritas Paquete 450 grs.,Harina de maíz Puritas,Harina de maiz,Puritas,Paquete 450 grs.,450.0,GR,,True,False
harina de maiz Puritas (paquete 450 grs.),harina de maiz Puritas,Harina de maiz,Puritas,Paquete 450 grs.,450.0,GR,,True,False
harina de trigo 000 Canuelas (paquete 1 kg.),harina de trigo 000 Canuelas,Harina de trigo 000,Cañuelas,Paquete 1 kg.,1.0,KG,,True,False
harina de trigo 000 Cololo (paquete 1 kg.),harina de trigo 000 Cololo,Harina de trigo 000,Cololó,Paquete 1 kg.,1.0,KG,,True,False
