Producto;producto_base;tipo_producto;marca;presentacion;tipo_envoltorio;presentacion_valor;presentacion_unidad;especificacion;nombre_comercial;canasta_producto;canasta_cantidad
Frankfurters cortos Schneck Paquete 8 us.;Frankfurters cortos Schneck;Frankfurter cortos;Schneck;Empaque 8 Unidades;Empaque;8.0;UNIDADES;;Frankfurter cortos ;;
galletas saladas al agua El maestro cubano (paquete 120 grs.);galletas saladas al agua El maestro cubano;Galletas ;El Maestro Cubano;Empaque 120 grs.;Empaque;120.0;GR;saladas al agua;Galletas  saladas al agua;;
galletas saladas al agua Famosa (paquete 140 grs.);galletas saladas al agua Famosa;Galletas ;Famosa;Empaque 140 grs.;Empaque;140.0;GR;saladas al agua;Galletas  saladas al agua;;
Galletitas al agua Famosa Paquete 140 grs.;Galletitas al agua Famosa;Galletas ;Famosa;Empaque 140 grs.;Empaque;140.0;GR;saladas al agua;Galletas  saladas al agua;;
Galletitas al agua Maestro Cubano Paquete 120 grs.;Galletitas al agua Maestro Cubano;Galletas ;Maestro Cubano;Empaque 120 grs.;Empaque;120.0;GR;saladas al agua;Galletas  saladas al agua;;
Gasa estéril 40 us.;Gasa estéril;Gasa esteril;Genérico;Empaque 40 Unidades;Empaque;40.0;UNIDADES;;Gasa esteril ;;
gasa esteril gasa esteril Sin marca (40 unidades);gasa esteril gasa esteril Sin marca;Gasa esteril;Genérico;Empaque 40 Unidades;Empaque;40.0;UNIDADES;;Gasa esteril ;;
gaseosa cola Coca-cola (botella 1,5 lt.);gaseosa cola Coca-cola;Gaseosa cola;Coca-Cola;Envase 1,5 lt.;Envase;1.5;LT;;Gaseosa cola ;;
gaseosa cola Coca-cola (botella 2,25.lt.);gaseosa cola Coca-cola;Gaseosa cola;Coca-Cola;Envase 2,25.lt.;Envase;2.5;LT;;Gaseosa cola ;;
gaseosa cola Pepsi-cola (botella 1,5 lt.);gaseosa cola Pepsi-cola;Gaseosa cola;Pepsi;Envase 1,5 lt.;Envase;1.5;LT;;Gaseosa cola ;;
gaseosa cola Pepsi-cola (botella 2 lt.);gaseosa cola Pepsi-cola;Gaseosa cola;Pepsi;Envase 2 lt.;Envase;2.0;LT;;Gaseosa cola ;;
Gaseosa tipo cola (env. no ret.) Coca Cola Botella 1,5 lt.;Gaseosa tipo cola (env. no ret.) Coca Cola;Gaseosa cola ;Coca-Cola;Envase 1,5 lt.;Envase;1.5;LT;env no ret;Gaseosa cola  env no ret;;
Gaseosa tipo cola (env. no ret.) Coca Cola_ Botella 2,25.lt.;Gaseosa tipo cola (env. no ret.) Coca Cola_;Gaseosa cola;Coca-Cola;Envase 2,25.lt.;Envase;2.5;LT;env no ret;Gaseosa cola env no ret;;
Gaseosa tipo cola (env. no ret.) Pepsi Botella 1,5 lt.;Gaseosa tipo cola (env. no ret.) Pepsi;Gaseosa cola;Pepsi;Envase 1,5 lt.;Envase;1.5;LT;env no ret;Gaseosa cola env no ret;;
Gaseosa tipo cola (env. no ret.) Pepsi Botella 2 lt.;Gaseosa tipo cola (env. no ret.) Pepsi;Gaseosa cola;Pepsi;Envase 2 lt.;Envase;2.0;LT;env no ret;Gaseosa cola env no ret;;
hamburguesa carne vacuna Burgy (paquete 3 unidades);hamburguesa carne vacuna Burgy;Hamburguesa carne vacuna;Burgy;Empaque 3 Unidades;Empaque;3.0;UNIDADES;;Hamburguesa carne vacuna ;;
hamburguesa carne vacuna Paty (paquete 2 unidades);hamburguesa carne vacuna Paty;Hamburguesa carne vacuna;Paty;Empaque 2 Unidades;Empaque;2.0;UNIDADES;;Hamburguesa carne vacuna ;;
hamburguesa carne vacuna Schneck (paquete 2 unidades);hamburguesa carne vacuna Schneck;Hamburguesa carne vacuna;Schneck;Empaque 2 Unidades;Empaque;2.0;UNIDADES;;Hamburguesa carne vacuna ;;
Hamburguesas carne vacun Burgy Paquete 3 unidades;Hamburguesas carne vacun Burgy;Hamburguesa carne vacuna;Burgy;Empaque 3 Unidades;Empaque;3.0;UNIDADES;;Hamburguesa carne vacuna ;;
Hamburguesas carne vacun Paty Paquete 2 unidades;Hamburguesas carne vacun Paty;Hamburguesa carne vacuna;Paty;Empaque 2 Unidades;Empaque;2.0;UNIDADES;;Hamburguesa carne vacuna ;;
Hamburguesas carne vacun Schneck Paquete 2 unidades;Hamburguesas carne vacun Schneck;Hamburguesa carne vacuna;Schneck;Empaque 2 Unidades;Empaque;2.0;UNIDADES;;Hamburguesa carne vacuna ;;
Harina de maíz Gourmet Paquete 450 grs.;Harina de maíz Gourmet;Harina de maiz;Gourmet;Empaque 450 grs.;Empaque;450.0;GR;;Harina de maiz ;;
harina de maiz Gourmet (paquete 450 grs.);harina de maiz Gourmet;Harina de maiz;Gourmet;Empaque 450 grs.;Empaque;450.0;GR;;Harina de maiz ;;
Harina de maíz Presto Pronta Arcor Paquete 500 grs.;Harina de maíz Presto Pronta Arcor;Harina de maiz;Presto Pronta Arcor;Empaque 500 grs.;Empaque;500.0;GR;;Harina de maiz ;;
harina de maiz Presto pronta arcor (paquete 500 grs.);harina de maiz Presto pronta arcor;Harina de maiz;Presto Pronta Arcor;Empaque 500 grs.;Empaque;500.0;GR;;Harina de maiz ;;
Harina de maíz Puritas Paquete 450 grs.;Harina de maíz Puritas;Harina de maiz;Puritas;Empaque 450 grs.;Empaque;450.0;GR;;Harina de maiz ;;
harina de maiz Puritas (paquete 450 grs.);harina de maiz Puritas;Harina de maiz;Puritas;Empaque 450 grs.;Empaque;450.0;GR;;Harina de maiz ;;
harina de trigo 000 Canuelas (paquete 1 kg.);harina de trigo 000 Canuelas;Harina de trigo;Cañuelas;Empaque 1 kg.;Empaque;1.0;KG;Común  000;Harina de trigo Común  000;1;4
harina de trigo 000 Cololo (paquete 1 kg.);harina de trigo 000 Cololo;Harina de trigo;Cololó;Empaque 1 kg.;Empaque;1.0;KG;Común  000;Harina de trigo Común  000;1;4
harina de trigo 0000 Canuelas (paquete 1 kg.);harina de trigo 0000 Canuelas;Harina de trigo;Cañuelas;Empaque 1 kg.;Empaque;1.0;KG;Común  000;Harina de trigo Común  000;1;4
harina de trigo 0000 Cololo (paquete 1 kg.);harina de trigo 0000 Cololo;Harina de trigo;Cololó;Empaque 1 kg.;Empaque;1.0;KG;Común  000;Harina de trigo Común  000;1;4
harina de trigo 0000 Devoto (paquete 1 kg.);harina de trigo 0000 Devoto;Harina de trigo;Devoto;Empaque 1 kg.;Empaque;1.0;KG;Común  000;Harina de trigo Común  000;1;4
harina de trigo 0000 El dorado (paquete 1 kg.);harina de trigo 0000 El dorado;Harina de trigo;El Dorado;Empaque 1 kg.;Empaque;1.0;KG;Común  000;Harina de trigo Común  000;1;4
harina de trigo 0000 Primor (paquete 1 kg.);harina de trigo 0000 Primor;Harina de trigo;Primor;Empaque 1 kg.;Empaque;1.0;KG;Común  000;Harina de trigo Común  000;1;4
harina de trigo 0000 Tata (paquete 1 kg.);harina de trigo 0000 Tata;Harina de trigo;Tata;Empaque 1 kg.;Empaque;1.0;KG;Común  000;Harina de trigo Común  000;1;4
harina de trigo 0000 Tienda inglesa (paquete 1 kg.);harina de trigo 0000 Tienda inglesa;Harina de trigo;Tienda Inglesa;Empaque 1 kg.;Empaque;1.0;KG;Común  000;Harina de trigo Común  000;1;4
Harina trigo común 000 Cañuelas Paquete 1 kg.;Harina trigo común 000 Cañuelas;Harina de trigo;Cañuelas;Empaque 1 kg.;Empaque;1.0;KG;Común  000;Harina de trigo Común  000;1;4
Harina trigo común 000 Cololó Paquete 1 kg.;Harina trigo común 000 Cololó;Harina de trigo;Cololó;Empaque 1 kg.;Empaque;1.0;KG;Común  000;Harina de trigo Común  000;1;4
Harina trigo común 0000 Cañuelas Paquete 1 kg.;Harina trigo común 0000 Cañuelas;Harina de trigo;Cañuelas;Empaque 1 kg.;Empaque;1.0;KG;Común 0000;Harina de trigo Común 0000;1;4
Harina trigo común 0000 Cololó Paquete 1 kg.;Harina trigo común 0000 Cololó;Harina de trigo;Cololó;Empaque 1 kg.;Empaque;1.0;KG;Común 0000;Harina de trigo Común 0000;1;4
Harina trigo común 0000 Granja La Sonrisa Paquete 1 kg.;Harina trigo común 0000 Granja La Sonrisa;Harina de trigo;Granja La Sonrisa;Empaque 1 kg.;Empaque;1.0;KG;Común 0000;Harina de trigo Común 0000;1;4
Harina trigo común 0000 Marca Propia Paquete 1 kg.;Harina trigo común 0000 Marca Propia;Harina de trigo;Marca Propia;Empaque 1 kg.;Empaque;1.0;KG;Común 0000;Harina de trigo Común 0000;1;4
Harina trigo común 0000 Marcas Propias Paquete 1 kg.;Harina trigo común 0000 Marcas Propias;Harina de trigo;Marcas Propias;Empaque 1 kg.;Empaque;1.0;KG;Común 0000;Harina de trigo Común 0000;1;4
Harina trigo común 0000 Precio Líder Paquete 1 kg.;Harina trigo común 0000 Precio Líder;Harina de trigo;Precio Lider;Empaque 1 kg.;Empaque;1.0;KG;Común 0000;Harina de trigo Común 0000;1;4
Harina trigo común 0000 Primor Paquete 1 kg.;Harina trigo común 0000 Primor;Harina de trigo;Primor;Empaque 1 kg.;Empaque;1.0;KG;Común 0000;Harina de trigo Común 0000;1;4
Harina trigo común 0000 Tata Paquete 1 kg.;Harina trigo común 0000 Tata;Harina de trigo;Tata;Empaque 1 kg.;Empaque;1.0;KG;Común 0000;Harina de trigo Común 0000;1;4
Harina trigo común 0000 Tienda Inglesa Paquete 1 kg.;Harina trigo común 0000 Tienda Inglesa;Harina de trigo;Tienda Inglesa;Empaque 1 kg.;Empaque;1.0;KG;Común 0000;Harina de trigo Común 0000;1;4
helado comun Conaprole (envase 1lt.);helado comun Conaprole;Helado;Conaprole;Envase 1lt.;Envase;1.0;LT;Común;Helado Común;;
helado comun Crufi (envase 1lt.);helado comun Crufi;Helado;Crufi;Envase 1lt.;Envase;1.0;LT;Común;Helado Común;;
Helado familiar Conaprole Envase 1lt.;Helado familiar Conaprole;Helado;Conaprole;Envase 1lt.;Envase;1.0;LT;familiar;Helado familiar;;
Helado familiar Crufi Envase 1lt.;Helado familiar Crufi;Helado;Crufi;Envase 1lt.;Envase;1.0;LT;familiar;Helado familiar;;
Hipoclorito de sodio Agua Jane Botella 1 lt.;Hipoclorito de sodio Agua Jane;Hipoclorito de sodio;Agua Jane;Envase 1 lt.;Envase;1.0;LT;;Hipoclorito de sodio ;;
Hipoclorito de sodio Sello Rojo Botella 1 lt.;Hipoclorito de sodio Sello Rojo;Hipoclorito de sodio;Sello Rojo;Envase 1 lt.;Envase;1.0;LT;;Hipoclorito de sodio ;;
Hipoclorito de sodio Solución Cristal Botella 1 lt.;Hipoclorito de sodio Solución Cristal;Hipoclorito de sodio;Solución Cristal;Envase 1 lt.;Envase;1.0;LT;;Hipoclorito de sodio ;;
hipolclorito de sodio comun Agua jane (botella 1 lt.);hipolclorito de sodio comun Agua jane;Hipoclorito de sodio;Agua Jane;Envase 1 lt.;Envase;1.0;LT;Común;Hipoclorito de sodio Común;;
hipolclorito de sodio comun Sello rojo (botella 1 lt.);hipolclorito de sodio comun Sello rojo;Hipoclorito de sodio;Sello Rojo;Envase 1 lt.;Envase;1.0;LT;Común;Hipoclorito de sodio Común;;
hipolclorito de sodio comun Solucion cristal (botella 1 lt.);hipolclorito de sodio comun Solucion cristal;Hipoclorito de sodio;Solución Cristal;Envase 1 lt.;Envase;1.0;LT;Común;Hipoclorito de sodio Común;;
Huevos colorados El Jefe Envase 1/2 docena;Huevos colorados El Jefe;Huevos;El Jefe;Empaque 1/2 docena;Empaque;6.0;UNIDADES;colorados;Huevos colorados;1;5
huevos colorados El jefe (envase 1/2 docena);huevos colorados El jefe;Huevos;El Jefe;Empaque 1/2 docena;Empaque;6.0;UNIDADES;colorados;Huevos colorados;1;5
Huevos colorados Prodhin Envase 1/2 docena;Huevos colorados Prodhin;Huevos;Prodhin;Empaque 1/2 docena;Empaque;6.0;UNIDADES;colorados;Huevos colorados;1;5
huevos colorados Prodhin (envase 1/2 docena);huevos colorados Prodhin;Huevos;Prodhin;Empaque 1/2 docena;Empaque;6.0;UNIDADES;colorados;Huevos colorados;1;5
Huevos colorados Super huevo Envase 1/2 docena;Huevos colorados Super huevo;Huevos;Super Huevo;Empaque 1/2 docena;Empaque;6.0;UNIDADES;colorados;Huevos colorados;1;5
huevos colorados Super huevo (envase 1/2 docena);huevos colorados Super huevo;Huevos;Super Huevo;Empaque 1/2 docena;Empaque;6.0;UNIDADES;colorados;Huevos colorados;1;5
Jabón de tocador Ann Bow, 140 grs.;Jabón de tocador Ann Bow;Jabon de tocador;Ann Bow;Empaque 140 grs.;Empaque;140.0;GR;;Jabon de tocador ;1;6
Jabón de tocador Astral plata Unidad 125 grs.;Jabón de tocador Astral plata;Jabon de tocador;Astral Plata;Empaque Unidad 125 grs.;Empaque;125.0;GR;;Jabon de tocador ;1;6
Jabón de tocador Dove Blanco, 90 grs.;Jabón de tocador Dove Blanco;Jabon de tocador;Dove;Empaque 90 grs.;Empaque;90.0;GR;Blanco;Jabon de tocador Blanco;1;6
Jabón de tocador Neutrogena Deep Clean, 80 grs.;Jabón de tocador Neutrogena Deep Clean;Jabon de tocador;Neutrogena;Empaque 80 grs.;Envase;80.0;GR;Deep Clean;Jabon de tocador Deep Clean;1;6
Jabón de tocador Palmolive Unidad 125 grs.;Jabón de tocador Palmolive;Jabon de tocador;Palmolive;Empaque Unidad 125 grs.;Empaque;125.0;GR;;Jabon de tocador ;1;6
Jabón de tocador Rexona Unidad 125 grs.;Jabón de tocador Rexona;Jabon de tocador;Rexona;Empaque Unidad 125 grs.;Empaque;125.0;GR;;Jabon de tocador ;1;6
jabon de tocador en barra Ann bow (140 grs.);jabon de tocador en barra Ann bow;Jabon de tocador;Ann Bow;Empaque 140 grs.;Empaque;140.0;GR;en barra;Jabon de tocador en barra;1;6
jabon de tocador en barra Astral plata (unidad 125 grs.);jabon de tocador en barra Astral plata;Jabon de tocador;Astral Plata;Empaque Unidad 125 grs.;Empaque;125.0;GR;en barra;Jabon de tocador en barra;1;6
jabon de tocador en barra Dove original (90 grs.);jabon de tocador en barra Dove original;Jabon de tocador;Dove;Empaque 90 grs.;Empaque;90.0;GR;en barra Original;Jabon de tocador en barra Original;1;6
jabon de tocador en barra Neutrogena (80 grs.);jabon de tocador en barra Neutrogena;Jabon de tocador;Neutrogena;Empaque 80 grs.;Empaque;80.0;GR;en barra;Jabon de tocador en barra;1;6
jabon de tocador en barra Palmolive (unidad 125 grs.);jabon de tocador en barra Palmolive;Jabon de tocador;Palmolive;Empaque Unidad 125 grs.;Empaque;125.0;GR;en barra;Jabon de tocador en barra;1;6
jabon de tocador en barra Rexona (unidad 125 grs.);jabon de tocador en barra Rexona;Jabon de tocador;Rexona;Empaque Unidad 125 grs.;Empaque;125.0;GR;en barra;Jabon de tocador en barra;1;6
Jabón en polvo máquina Drive Paquete 800 grs.;Jabón en polvo máquina Drive;Jabon para ropa ;Drive;Empaque 800 grs.;Empaque;800.0;GR;en polvo;Jabon para ropa  en polvo;1;1
Jabón en polvo máquina Nevex Paquete 800 grs.;Jabón en polvo máquina Nevex;Jabon para ropa ;Nevex;Empaque 800 grs.;Empaque;800.0;GR;en polvo;Jabon para ropa  en polvo;1;1
Jabón en polvo máquina Skip - Paquete azul Paquete 800 grs.;Jabón en polvo máquina Skip -;Jabon para ropa ;Skip;Empaque 800 grs.;Empaque;800.0;GR;en polvo;Jabon para ropa  en polvo;1;1
Jabón para ropa en barra Bull Dog Unidad 300 grs.;Jabón para ropa en barra Bull Dog;Jabon para ropa ;Bull Dog;Empaque Unidad 300 grs.;Empaque;300.0;GR;en barra;Jabon para ropa  en barra;;
jabon para ropa en barra Bull dog (unidad 300 grs.);jabon para ropa en barra Bull dog;Jabon para ropa ;Bull Dog;Empaque Unidad 300 grs.;Empaque;300.0;GR;en barra;Jabon para ropa  en barra;;
Jabón para ropa en barra Nevex Unidad 200 grs.;Jabón para ropa en barra Nevex;Jabon para ropa ;Nevex;Empaque Unidad 200 grs.;Empaque;200.0;GR;en barra;Jabon para ropa  en barra;;
jabon para ropa en barra Nevex (unidad 200 grs.);jabon para ropa en barra Nevex;Jabon para ropa ;Nevex;Empaque Unidad 200 grs.;Empaque;200.0;GR;en barra;Jabon para ropa  en barra;;
Jabón para ropa en barra Primor Unidad 300 grs.;Jabón para ropa en barra Primor;Jabon para ropa ;Primor;Empaque Unidad 300 grs.;Empaque;300.0;GR;en barra;Jabon para ropa  en barra;;
jabon para ropa en barra Primor (unidad 200 grs.);jabon para ropa en barra Primor;Jabon para ropa ;Primor;Empaque Unidad 200 grs.;Empaque;200.0;GR;en barra;Jabon para ropa  en barra;;
jabon para ropa en polvo para maquina Drive (paquete 800 grs.);jabon para ropa en polvo para maquina Drive;Jabon para ropa ;Drive;Empaque 800 grs.;Empaque;800.0;GR;en polvo;Jabon para ropa  en polvo;1;1
jabon para ropa en polvo para maquina Nevex (paquete 800 grs.);jabon para ropa en polvo para maquina Nevex;Jabon para ropa ;Nevex;Empaque 800 grs.;Empaque;800.0;GR;en polvo;Jabon para ropa  en polvo;1;1
jabon para ropa en polvo para maquina Skip paquete azul (paquete 800 grs.);jabon para ropa en polvo para maquina Skip paquete azul;Jabon para ropa ;Skip;Empaque 800 grs.;Empaque;800.0;GR;en polvo Paquete Azul;Jabon para ropa  en polvo Paquete Azul;1;1
jamon cocido Cattivelli (1 kg.);jamon cocido Cattivelli;Jamon cocido;Cattivelli;1 kg.;Para Empaquetar;1.0;KG;;Jamon cocido ;;
jamon cocido Ottonello (1 kg.);jamon cocido Ottonello;Jamon cocido;Ottonello;1 kg.;Para Empaquetar;1.0;KG;;Jamon cocido ;;
Jamón cocido no artesanal Cattivelli 1 kg.;Jamón cocido no artesanal Cattivelli;Jamon cocido;Cattivelli;1 kg.;Para Empaquetar;1.0;KG;no artesanal;Jamon cocido no artesanal;;
Jamón cocido no artesanal Ottonello 1 kg.;Jamón cocido no artesanal Ottonello;Jamon cocido;Ottonello;1 kg.;Para Empaquetar;1.0;KG;no artesanal;Jamon cocido no artesanal;;
Lechuga Crespa, 1 unidad;Lechuga Crespa;Lechuga;Genérico;1 Unidad;Para Empaquetar;1.0;UNIDADES;Crespa;Lechuga Crespa;;
Lechuga Mantecosa, 1 unidad;Lechuga Mantecosa;Lechuga;Genérico;1 Unidad;Para Empaquetar;1.0;UNIDADES;Mantecosa;Lechuga Mantecosa;;
lechuga crespa Sin marca (1 unidad);lechuga crespa Sin marca;Lechuga;Genérico;1 Unidad;Para Empaquetar;1.0;UNIDADES;Crespa;Lechuga Crespa;;
lechuga mantecosa Sin marca (1 unidad);lechuga mantecosa Sin marca;Lechuga;Genérico;1 Unidad;Para Empaquetar;1.0;UNIDADES;Mantecosa;Lechuga Mantecosa;;
Leonesa Ottonello 1 kg.;Leonesa Ottonello;Leonesa;Ottonello;1 kg.;Para Empaquetar;1.0;KG;;Leonesa ;;
Leonesa Schneck 1 kg.;Leonesa Schneck;Leonesa;Schneck;1 kg.;Para Empaquetar;1.0;KG;;Leonesa ;;
leonesa comun Schneck (1 kg.);leonesa comun Schneck;Leonesa;Schneck;1 kg.;Para Empaquetar;1.0;KG;;Leonesa ;;
leonesa de pollo Ottonello (1 kg.);leonesa de pollo Ottonello;Leonesa de pollo;Ottonello;1 kg.;Para Empaquetar;1.0;KG;;Leonesa de pollo ;;
Manteca Calcar Envase 200 grs.;Manteca Calcar;Manteca;Calcar;Envase 200 grs.;Envase;200.0;GR;;Manteca ;;
Manteca Conaprole sin sal Envase 200 grs.;Manteca Conaprole sin sal;Manteca;Conaprole;Envase 200 grs.;Envase;200.0;GR;Sin Sal;Manteca Sin Sal;;
Manteca Kasdorf Envase 200 grs.;Manteca Kasdorf;Manteca;Kasdorf;Envase 200 grs.;Envase;200.0;GR;;Manteca ;;
manteca sin sal Calcar (envase 200 grs.);manteca sin sal Calcar;Manteca;Calcar;Envase 200 grs.;Envase;200.0;GR;Sin Sal;Manteca Sin Sal;;
manteca sin sal Conaprole (envase 200 grs.);manteca sin sal Conaprole;Manteca;Conaprole;Envase 200 grs.;Envase;200.0;GR;Sin Sal;Manteca Sin Sal;;
manteca sin sal Kasdorf (envase 200 grs.);manteca sin sal Kasdorf;Manteca;Kasdorf;Envase 200 grs.;Envase;200.0;GR;Sin Sal;Manteca Sin Sal;;
Manzana Fuji, 1 kg.;Manzana Fuji;Manzana;Genérico;1 kg.;Para Empaquetar;1.0;KG;Fuji;Manzana Fuji;;
Manzana Granny Smith, 1 kg.;Manzana Granny Smith;Manzana;Genérico;1 kg.;Para Empaquetar;1.0;KG;Granny Smith;Manzana Granny Smith;;
Manzana Red Deliciosa, 1 kg.;Manzana Red Deliciosa;Manzana;Genérico;1 kg.;Para Empaquetar;1.0;KG;Red Deliciosa;Manzana Red Deliciosa;;
manzana fuji Sin marca (1 kg.);manzana fuji Sin marca;Manzana;Genérico;1 kg.;Para Empaquetar;1.0;KG;Fuji;Manzana Fuji;;
manzana granny smith Sin marca (1 kg.);manzana granny smith Sin marca;Manzana;Genérico;1 kg.;Para Empaquetar;1.0;KG;Granny Smith;Manzana Granny Smith;;
manzana red deliciosa Sin marca (1 kg.);manzana red deliciosa Sin marca;Manzana;Genérico;1 kg.;Para Empaquetar;1.0;KG;Red Deliciosa;Manzana Red Deliciosa;;
Margarina Adorita Envase 250 grs.;Margarina Adorita;Margarina;Adorita;Envase 250 grs.;Envase;250.0;GR;;Margarina ;;
Margarina Doriana nueva Envase 250 grs.;Margarina Doriana nueva;Margarina;Doriana Nueva;Envase 250 grs.;Envase;250.0;GR;;Margarina ;;
Margarina Qualy Envase 250 grs.;Margarina Qualy;Margarina;Qualy;Envase 250 grs.;Envase;250.0;GR;;Margarina ;;
margarina con sal Adorita (envase 250 grs.);margarina con sal Adorita;Margarina;Adorita;Envase 250 grs.;Envase;250.0;GR;con sal;Margarina con sal;;
margarina con sal Doriana nueva (envase 250 grs.);margarina con sal Doriana nueva;Margarina;Doriana Nueva;Envase 250 grs.;Envase;250.0;GR;con sal;Margarina con sal;;
margarina con sal Qualy (envase 250 grs.);margarina con sal Qualy;Margarina;Qualy;Envase 250 grs.;Envase;250.0;GR;con sal;Margarina con sal;;
Mayonesa común Hellmans Envase 500 grs.;Mayonesa común Hellmans;Mayonesa comun;Hellmans;Envase 500 grs.;Envase;500.0;GR;;Mayonesa comun ;;
mayonesa comun Hellmans (envase 500 grs.);mayonesa comun Hellmans;Mayonesa comun;Hellmans;Envase 500 grs.;Envase;500.0;GR;;Mayonesa comun ;;
Mayonesa común Uruguay Envase 500 grs.;Mayonesa común Uruguay;Mayonesa comun;Uruguay;Envase 500 grs.;Envase;500.0;GR;;Mayonesa comun ;;
mayonesa comun Uruguay (envase 500 grs.);mayonesa comun Uruguay;Mayonesa comun;Uruguay;Envase 500 grs.;Envase;500.0;GR;;Mayonesa comun ;;
Mermelada de durazno El Hogar Envase 500 grs.;Mermelada de durazno El Hogar;Mermelada de durazno;El Hogar;Envase 500 grs.;Envase;500.0;GR;;Mermelada de durazno ;;
mermelada de durazno El hogar (envase 500 grs.);mermelada de durazno El hogar;Mermelada de durazno;El Hogar;Envase 500 grs.;Envase;500.0;GR;;Mermelada de durazno ;;
Mermelada de durazno Los Nietitos Envase 500 grs.;Mermelada de durazno Los Nietitos;Mermelada de durazno;Los Nietitos;Envase 500 grs.;Envase;500.0;GR;;Mermelada de durazno ;;
mermelada de durazno Los nietitos (envase 500 grs.);mermelada de durazno Los nietitos;Mermelada de durazno;Los Nietitos;Envase 500 grs.;Envase;500.0;GR;;Mermelada de durazno ;;
nalga sin hueso Sin marca (1 kg.);nalga sin hueso Sin marca;Nalga vacuna;Genérico;1 kg.;Para Empaquetar;1.0;KG;Sin Hueso;Nalga vacuna Sin Hueso;;
Nalga vacuna Con Hueso - Sin Marca 1 kg.;Nalga vacuna Con Hueso - Sin Marca;Nalga vacuna;Genérico;1 kg.;Para Empaquetar;1.0;KG;Con Hueso;Nalga vacuna Con Hueso;;
Nalga vacuna Sin Hueso - Sin Marca 1 kg.;Nalga vacuna Sin Hueso - Sin Marca;Nalga vacuna;Genérico;1 kg.;Para Empaquetar;1.0;KG;Sin Hueso;Nalga vacuna Sin Hueso;;
Naranja Navel, 1 kg.;Naranja Navel;Naranja;Genérico;1 kg.;Para Empaquetar;1.0;KG;Navel;Naranja Navel;;
Naranja Valencia, 1 kg.;Naranja Valencia;Naranja;Genérico;1 kg.;Para Empaquetar;1.0;KG;Valencia;Naranja Valencia;;
naranja navel Sin marca (1 kg.);naranja navel Sin marca;Naranja;Genérico;1 kg.;Para Empaquetar;1.0;KG;Navel;Naranja Navel;;
paleta con hueso Sin marca (1 kg.);paleta con hueso Sin marca;Paleta vacuna;Genérico;1 kg.;Para Empaquetar;1.0;KG;Con Hueso;Paleta vacuna Con Hueso;;
paleta sin hueso Sin marca (1 kg.);paleta sin hueso Sin marca;Paleta vacuna;Genérico;1 kg.;Para Empaquetar;1.0;KG;Sin Hueso;Paleta vacuna Sin Hueso;;
Paleta vacuna Con Hueso - Sin Marca 1 kg.;Paleta vacuna Con Hueso - Sin Marca;Paleta vacuna;Genérico;1 kg.;Para Empaquetar;1.0;KG;Con Hueso;Paleta vacuna Con Hueso;;
Paleta vacuna Sin Hueso - Sin Marca 1 kg.;Paleta vacuna Sin Hueso - Sin Marca;Paleta vacuna;Genérico;1 kg.;Para Empaquetar;1.0;KG;Sin Hueso;Paleta vacuna Sin Hueso;;
pan de molde Bimbo (paquete 330 grs.);pan de molde Bimbo;Pan de molde;Bimbo;Empaque 330 grs.;Empaque;330.0;GR;;Pan de molde ;;
pan de molde Los sorchantes (paquete 330 grs.);pan de molde Los sorchantes;Pan de molde;Los Sorchantes;Empaque 330 grs.;Empaque;330.0;GR;;Pan de molde ;;
pan de molde Pan catalan (paquete 330 grs.);pan de molde Pan catalan;Pan de molde;Pan Catalan;Empaque 330 grs.;Empaque;330.0;GR;;Pan de molde ;;
Pan de molde lacteado Bimbo Paquete 330 grs.;Pan de molde lacteado Bimbo;Pan de molde lacteado;Bimbo;Empaque 330 grs.;Empaque;330.0;GR;;Pan de molde lacteado ;;
Pan de molde lacteado Los Sorchantes Paquete 330 grs.;Pan de molde lacteado Los Sorchantes;Pan de molde lacteado;Los Sorchantes;Empaque 330 grs.;Empaque;330.0;GR;;Pan de molde lacteado ;;
Pan de molde lacteado Pan Catalán Paquete 330 grs.;Pan de molde lacteado Pan Catalán;Pan de molde lacteado;Pan Catalan;Empaque 330 grs.;Empaque;330.0;GR;;Pan de molde lacteado ;;
Pan flauta Sin marca Unidad aprox215 grs.;Pan flauta Sin marca;Pan flauta;Genérico;Empaque 215 grs.;Empaque;215.0;GR;;Pan flauta ;;
pan flauta Sin marca (unidad aprox215 grs.);pan flauta Sin marca;Pan flauta;Genérico;Empaque 215 grs.;Empaque;215.0;GR;;Pan flauta ;;
Pañales Babysec Premium Extra Extra Grande, 48 us.;Pañales Babysec Premium Extra Extra Grande;Panales para ninos ;Babysec;Empaque 48 Unidades;Empaque;48.0;UNIDADES;Premium Extra Extra Grande;Panales para ninos  Premium Extra Extra Grande;;
Pañales Huggies Primeros 100 Dias Pequeño, 40 us.;Pañales Huggies Primeros 100 Dias Pequeño;Panales para ninos ;Huggies;Empaque 40 Unidades;Empaque;40.0;UNIDADES;Primeros 100 Dias Pequeno;Panales para ninos  Primeros 100 Dias Pequeno;;
Pañales Adultos Readysec Grande, 24 us.;Pañales Adultos Readysec Grande;Panales para adultos;Readysec;Empaque 24 Unidades;Empaque;24.0;UNIDADES;Grande;Panales para adultos Grande;;
panales para adultos comun Readysec (24 unidades);panales para adultos comun Readysec;Panales para adultos;Readysec;Empaque 24 Unidades;Empaque;24.0;UNIDADES;Común;Panales para adultos Común;;
