Producto;producto_base;tipo_producto;marca;presentacion;tipo_envoltorio;presentacion_valor;presentacion_unidad;especificacion;nombre_comercial;canasta_producto;canasta_cantidad
agua mineral sin gas Vitale (envase 2,5lt.);agua mineral sin gas Vitale;Agua ;Vitale;Envase 2,5lt.;Envase;5.0;LT;mineral sin gas;Agua  mineral sin gas;;
Agua mineral sin gas(bidón) Nativa 6lts;Agua mineral sin gas(bidón) Nativa;Agua ;Nativa;Envase 6 lts;Envase;6.0;LT;mineral sin gas bidon;Agua  mineral sin gas bidon;;
Agua mineral sin gas(bidón) Salus 6,25lts;Agua mineral sin gas(bidón) Salus;Agua ;Salus;Envase 6,25lts;Envase;6.25;LT;mineral sin gas bidon;Agua  mineral sin gas bidon;;
aguja con hueso Sin marca (1 kg.);aguja con hueso Sin marca;Aguja vacuna;Genérico;1 kg.;Para Empaquetar;1.0;KG;Con Hueso;Aguja vacuna Con Hueso;;
aguja sin hueso Sin marca (1 kg.);aguja sin hueso Sin marca;Aguja vacuna;Genérico;1 kg.;Para Empaquetar;1.0;KG;Sin Hueso;Aguja vacuna Sin Hueso;;
Aguja vacuna Con Hueso - Sin Marca 1 kg.;Aguja vacuna Con Hueso - Sin Marca;Aguja vacuna;Genérico;1 kg.;Para Empaquetar;1.0;KG;Con Hueso;Aguja vacuna Con Hueso;;
Aguja vacuna Sin Hueso - Sin Marca 1 kg.;Aguja vacuna Sin Hueso - Sin Marca;Aguja vacuna;Genérico;1 kg.;Para Empaquetar;1.0;KG;Sin Hueso;Aguja vacuna Sin Hueso;;
Alcohol en gel Bioset 250 ml.;Alcohol en gel Bioset;Alcohol;Bioset;Envase 250 ml.;Envase;250.0;ML; En gel;Alcohol  En gel;;
alcohol en gel alcohol en gel Bioset (250 ml.);alcohol en gel alcohol en gel Bioset;Alcohol;Bioset;Envase 250 ml.;Envase;250.0;ML; En gel;Alcohol  En gel;;
Alcohol rectificado Droguería Paysandú 250 ml.;Alcohol rectificado Droguería Paysandú;Alcohol;Drogueria Paysandu;Envase 250 ml.;Envase;250.0;ML;Rectificado;Alcohol Rectificado;;
alcohol rectificado alcohol rectificado Drogueria paysandu (250 ml.);alcohol rectificado alcohol rectificado Drogueria paysandu;Alcohol;Drogueria Paysandu;Envase 250 ml.;Envase;250.0;ML;Rectificado;Alcohol Rectificado;;
Algodón Zig Zag Cisne 100 gr.;Algodón Zig Zag Cisne;Algodon;Zig Zag Cisne;Empaque 100 grs.;Empaque;100.0;GR;;Algodon ;;
algodon algodon Zig zag cisne (100 grs.);algodon algodon Zig zag cisne;Algodon;Zig Zag Cisne;Empaque 100 grs.;Empaque;100.0;GR;;Algodon ;;
Arroz blanco Aruba tipo Patna Bolsa 1 kg.;Arroz blanco Aruba tipo Patna;Arroz ;Aruba;Empaque 1 kg.;Empaque;1.0;KG;blanco Tipo Patna;Arroz  blanco Tipo Patna;1;3
Arroz blanco Blue Patna Bolsa 1 kg.;Arroz blanco Blue Patna;Arroz ;Blue Patna;Empaque 1 kg.;Empaque;1.0;KG;blanco;Arroz  blanco;1;3
Arroz blanco Green Chef Bolsa 1 kg.;Arroz blanco Green Chef;Arroz ;Green Chef;Empaque 1 kg.;Empaque;1.0;KG;blanco;Arroz  blanco;1;3
Arroz blanco Pony Bolsa 1 kg.;Arroz blanco Pony;Arroz ;Pony;Empaque 1 kg.;Empaque;1.0;KG;blanco;Arroz  blanco;1;3
Arroz blanco Saman Blanco Bolsa 1 kg.;Arroz blanco Saman Blanco;Arroz ;Saman Blanco;Empaque 1 kg.;Empaque;1.0;KG;blanco;Arroz  blanco;1;3
Arroz blanco Vidarroz Bolsa 1 kg.;Arroz blanco Vidarroz;Arroz ;Vidarroz;Empaque 1 kg.;Empaque;1.0;KG;blanco;Arroz  blanco;1;3
arroz calidad alta Blue patna (bolsa 1 kg.);arroz calidad alta Blue patna;Arroz ;Blue Patna;Empaque 1 kg.;Empaque;1.0;KG;calidad alta;Arroz  calidad alta;1;3
arroz calidad alta Green chef (bolsa 1 kg.);arroz calidad alta Green chef;Arroz ;Green Chef;Empaque 1 kg.;Empaque;1.0;KG;calidad alta;Arroz  calidad alta;1;3
arroz calidad alta Saman blanco (bolsa 1 kg.);arroz calidad alta Saman blanco;Arroz ;Saman Blanco;Empaque 1 kg.;Empaque;1.0;KG;calidad alta;Arroz  calidad alta;1;3
arroz calidad media Aruba (bolsa 1 kg.);arroz calidad media Aruba;Arroz ;Aruba;Empaque 1 kg.;Empaque;1.0;KG;calidad media;Arroz  calidad media;1;3
arroz calidad media Pony (bolsa 1 kg.);arroz calidad media Pony;Arroz ;Pony;Empaque 1 kg.;Empaque;1.0;KG;calidad media;Arroz  calidad media;1;3
